炸彈同地雷比任何軍階大	炸彈和地雷比任何軍階大
一年就標咗半尺高	一年就長高了半尺
掛住	掛念
化驗小便有助及早發現腎病。	尿液檢查可以幫助檢測腎臟疾病。
英日韓泰文嘅簡單招呼都難唔到導遊。	簡單的英文、日文、韓文、泰文問候，導遊不費吹灰之力。
你露械想蝦我，冇咁易。	你拿出武器來威脅我，可沒那麼容易。
抵諗	能忍讓
點解唔見左元朗大棠路對開嗰個巴士站	爲什麼不見了元朗大棠路對開那個巴士站
心水	意圖
抵	捱
我坐咗幾個鐘好攰喇，有冇人嚟接力呀？	我已經在這裡坐了幾個小時了，我累壞了。 有人要接手嗎？
舊樓樓底會高啲。	老建築往往有更高的天花板。
多啲O.T.噉你咪會瘦囖個人。	多一點O.T.那你就會瘦罵個人。
你信嗰啲衰人？真係個戇𨳊仔！	你相信那些無賴？ 你真是個傻瓜！
睇下我哋依片枯乾嘅草地 我哋點樣做先可以令佢健康呢 ？	現在 ， 眼看著我們這片草原變成荒蕪 到底我們能要怎麼做 才能讓它保持健康 ？
我哋大部分人 ， 或者所有人 無論空間幾大 只需要幾個睡袋 、 一個細少嘅空間 我哋就可以好快樂	我們大部分人或許是所有的人 , 這幾天都還過的蠻愉快的 , 簡單帶幾個袋子 , 或許只是個小空間 , 飯店客房 ,
皮尤研究中心研究咗一萬名美國成人 發現今時今日嘅人 係歷史上最極端 、 最分化嘅人	皮尤研究中心對一萬名 美國成人做了個調查 ， 發現目前我們偏激的程度 ， 我們立場鮮明的程度 ， 比歷史上任何時期都要高 。
食物中毒	食物中毒
法國鬼	法國人
死光	死掉
啲賊偷龍轉鳳，同佢調換咗第個喼	劫匪偷梁換柱，跟他調換了另外一個箱子
喺清朝初期，為咗孤立鄭成功嘅勢力，設下禁海令，迫使香港嘅居民內遷	在清朝初期，爲了孤立鄭成功的勢力，設下禁海令，迫使香港的居民內遷
佢係個靚仔，當然啲女仔都幾鍾意佢。	他是一個英俊的年輕人，所以女孩們當然很喜歡他。
跟住我哋翻到雜誌嘅下一頁 ， 係喇 ﹐ 我們可以見到呢個情況 。 呢一頁就係食物及藥物管制局 ﹐ 要求製藥公司 放入廣告內或附加到廣告後面嘅說明 。 而對我而言 ， 呢個動作 ﹐ 係醫學界其中一種多餘嘅動作 。	接著我們翻到雜誌的這一頁 ， 我们可以看到這樣的情況 。 沒錯 ， 這就是食品及藥物管理局要求製藥公司 放在廣告裡或者寫在廣告後面的說明 。 在我看來 ， 這是對醫藥體系的一種諷刺 。
嚇到佢定晒形。	他嚇得目瞪口呆。
我畀咗三次錢你	我給了你三次錢
定當	妥當
訓到十一點先起身	睡到十一點才起牀
成 … 日	「 一 ... 整 ... 天 」 。
劉 ︰ 所有記憶都係複雜而且有動態變化 但我哋可以簡單將記憶當成係一齣電影	劉旭 ： 所有記憶都是精密複雜且有活力的 而為了簡單說明 我們把記憶想像成一個電影片段
翻轉嚿石頭 睇下呢隻蟹蛛同隻甲蟲玩雙撲	把石頭翻開就會發現下面有很多蟹蛛 抓著甲蟲 。
其實男人玩嘅嘢有啲都好貴喎，譬如波子跑車啦。	事實上，有些男人的玩物非常昂貴：例如保時捷跑車。
表姐放學去左柴灣翠灣街公園打韆鞦	表姐放學去柴灣翠灣街公園盪鞦韆
我會試探一吓佢對呢個問題嘅睇法。	我會試探他對這個問題的看法。
擇日	擇日不如撞日
你揸車要醒定啲啦！	開車一定要提高警惕！
