一行出去就係泳池，再行出啲就係沙灘。	一行出去就係泳池，再行出Ｄ就係沙灘！
我捱足幾晚眼瞓先寫好個報告。	為了完成報告，我通宵工作了好幾個晚上。
英皇鐘錶珠寶	英皇鐘錶珠寶
你再講我嬲㗎喇！	你再說我就生氣了！
嗰件嘢幾擇使㗎	那件事兒夠麻煩的
有志氣	渴望做某事
佢第一次上台講嘢太緊張，食晒螺絲。	這是他第一次在台上發表演講。 他太緊張了，一直口吃。
快啲去溫書啦	趕快去複習吧
唔好咬，一嘢吞落去。	別咬，吞下去！
關	關口
今朝仔仔一起身就同我講數口，媽咪，我唔想返學，唔鍾意讀書！	今天早上小兒子一起床就和我吵架：媽媽，我不想上學，我不喜歡學習！
乜嘢叫做F九零交叉啊？	什麼叫做 F 九零交叉啊？
個故事嘅結局好慘。	這個故事的結局真是悲慘。
佢唔抵得我叻過佢。	他感到嫉妒，因為我比他聰明。
架勢	了不起
嘩，正啊真係，一份好好嘅生日禮物喇，真係唔使我哋多買嚹已經。	哇，正啊真，一份很好的生日禮物了，真不用我們多買葷已經。
蛇王	懶
佢觀念舊、視野窄，做親嘢都係死人尋舊路。	他的觀念陳舊，眼界狹隘，所以一做事就不能不墨守成規。
佢着衫好有品味。	他穿著很有品位。
佢日日搭的士出入，好似幾百萬未開頭噉。	他總是坐出租車，就好像他手頭有數百萬美元沒有動過似的。
真係識講嘢𡃉啫。即係講下啫哩啲。	真會說話而已。就是說一下而已這些。
最慘	最悲慘
杞子對眼好有益。	枸杞對眼睛有好處。
享負盛名	享有盛譽
心掛掛	心中牽掛着
冇減價嘅空間	沒有降價空間
條褲好緊，我著唔落。	腰太緊了，不適合我。
蒲	玩樂
碳水化合物	碳水化合物
一個人	一個人
即係面對咁廣大市民嘅健康啊，全港市民…	就是面對這麼廣大市民的健康啊，全香港市民 ...
唔好睇就鬆人	不好看就走
陸上交通工具	陸運
佢有噉嘅説法。	他有這個論點。
佢過身冇幾耐	他過世不久
今日天氣真係好熱	今天天氣真的很熱
冇可能	不可能的
你可以話我搵緊外星級數嘅房地產	你可以這樣說 ， 我期待選擇 「 外星人不動產仲介 」 ...
呢啲都無咁重要喇	這些都沒那麼重要了
整整坐咗 20 人	那裡大概有 20 個人
倒瓤冬瓜	繡花枕頭
原本呢度係菜田嚟㗎。	本來，這裡是一片菜地。
世界衛生組織統計 依家全世界有多過三億人有抑鬱症 即係我個國家叫嘅 「 Kufungisisa 」	世界衛生組織估計 ， 現今全球有超過三億人 受到憂鬱症的折磨 ， 或是在我的國家 ， 稱為 kufungisisa 。
我出去行街，着呢件士砵裇舒服啲啊。	我要出去，所以穿這件運動衫會更舒服。
有冇方法我可以令呢件衫縮細啲啊？	有什麼辦法可以把這件衣服的尺寸縮小一點嗎？
同事返工時間處理副業生意，做嘢甩漏要人執手尾。	上班時間處理副業，同事太馬虎，任務要完成。
似足	很像
唔好厲我啦，唔關我事㗎。	別瞪我，問題不是我造成的。
賀建奎係中國生物學者，南方科技大學副教授。佢嘅研究團隊聲用基因編輯技術嘅一對噉改過基因嘅雙胞胎因此喺2018年11月出世，事件引發全世界學術界同輿論就倫理等方面嘅指責。	賀建奎，生物學者，南方科技大學副教授。其團隊進行基因編輯的一對嬰兒在2018年11月誕生，引發學術界和社會倫理的諸多指責。
總之呢 ， 綠色嘅地方係唔會荒漠化嘅 而啡色嘅地方就會荒漠化 而啡色依啲係目前地球地表最大嘅部分	一般來說 ， 你所見綠色之處 就是沒有沙漠化的地方 棕色處則是發生沙漠化的地方 這些是迄今世上最大的幾處
搞笑	幽默
不得好死	沒好死
我啲數學點同佢比呀？	我的數學能力怎麼能和他相提並論呢？
睇清楚啲terms先好簽。	簽署前請仔細閱讀條款。
（ 掌聲 ） 有趣嘅系媒體過唔到黎 。	（ 掌聲 ） 有趣的是 ， 媒體無法走進那個地帶 。
休憩處	休息區
佢屋企家教好嚴，唔畀佢出夜街。	她的父母對她管得很嚴，晚上不讓她出去。
依家 ， 全球有六億 六十五歲以上嘅人口	在全世界 ， 有超過六億人的 年齡在六十五歲以上 。
博物館禮拜六日都開，公眾假期除外。	博物館甚至在周末開放，公共假期除外。
點樣去紅磡海濱南岸	怎麼去紅磡海濱南岸
隔籬間百貨公司開倉清貨，最低劈到一折。	隔壁百貨公司的商品正在清倉大甩賣，折扣高達 90%。
軍裝外套	軍裝夾克
豆腐花	豆花
我畀噉好多你喇。	我已經給你這麼多了。
笠衫	套頭上衣
2018年11月3號凌晨，友人發現藍潔瑛喺赤柱馬坑邨良馬樓屋企過咗身，終年55歲。警方初步調查後，懷疑佢喺廁所暈低失救而死，具體死因有待驗屍確定。	2018年11月3日凌晨零時許，藍潔瑛被友人發現倒斃在赤柱馬坑邨良馬樓的家中，享年55歲。經初步調查後，懷疑在廁所跌倒失救至死。
冇得輸	一定贏
好人事	心腸好
我六個月之後返去搵佢	我 6 個月後回到了她的村 , " 你丈夫不在嗎 ? "
話畀我知	跟我說
躓手躓腳	縮手縮腳
咪又係雕晒，有牌匾噉樣呢。	別又是全雕，有牌匾這樣呢。
總統今次紆尊降貴，去到貧民窟探訪居民。	總統謙虛地訪問貧民窟的居民。
七彩	色彩繽紛
鬍鬚勒特	留著濃密、濃密或濃密的鬍鬚
你哋一人少句啦	你們別吵了
包針	縫麻袋
非洲話	非洲語言
《九龍山 (粵劇)》，一粵劇劇目 九龍山股份有限公司（上交所：600555），一家上海市企業。	《九龍山 (粵劇)》，一粵劇劇目 九龍山股份有限公司（上交所：600555），一家上海市的企業。
佢俾簕劖親隻腳。	他的腳被一根刺扎破了。
係啊，所以死喇，你有乜嘢事呢？跟住你講講下又好似冇嘢噉，跟住噉我又你話…	是啊，所以死吧，你有什麼事呢？跟着你說說下又跟沒事一樣，然後那我又你說...
黑狗得食白狗當災	一個人從他的不法行為中獲益，但另一個人卻從中受害
有個亞伯喺金鐘立法會道唔見左個銀包	有個亞伯在金鐘立法會道不見了個錢包
纏藤花	攀牆花類的總稱
奇離	古怪
蟹肉忌廉薯餅	蟹肉奶油薯餅
佢激嬲咗女朋友，而家喺電話箍緊煲。	他讓他的女朋友生他的氣。 現在他正試圖通過電話與她和好。
邊個話佢上個月辭咗職㗎？我月頭先喺𨋢度撞到佢。	誰說他上個月辭職了？ 這個月開始的時候，我剛剛在電梯裡遇見他。
好唔捨得bb大得咁快呀	好捨不得 bb 大得這麼快啊
